year,Vessel Type,Country,CO2eq
2014,Others,Marshall Islands,9161
2014,Others,Micronesia,24163
2014,Others,Nauru,3632
2014,Others,Niue,4656
2014,Others,Palau,6043
2014,Others,Papua New Guinea,54830
2014,Others,Samoa,2486
2014,Others,Solomon Islands,12465
2014,Others,Tokelau,2788
2014,Others,Tonga,13112
2014,Others,Tuvalu,2845
2014,Others,Vanuatu,13903
2014,Passenger,Cook Islands,15860
2014,Passenger,Fiji,68891
2014,Passenger,Kiribati,18144
2014,Passenger,Marshall Islands,1052
2014,Passenger,Micronesia,3297
2014,Passenger,Nauru,0
2014,Passenger,Niue,2563
2014,Passenger,Palau,1154
2014,Passenger,Papua New Guinea,35589
2014,Passenger,Samoa,4352
2014,Passenger,Solomon Islands,5569
2014,Passenger,Tokelau,3711
2014,Passenger,Tonga,17563
2014,Passenger,Tuvalu,504
2014,Passenger,Vanuatu,67498
2014,Tanker,Cook Islands,11984
2014,Tanker,Fiji,26931
2014,Tanker,Kiribati,34432
2014,Tanker,Marshall Islands,25757
2014,Tanker,Micronesia,185744
2014,Tanker,Nauru,8064
2014,Tanker,Niue,3050
2014,Tanker,Palau,48215
2014,Tanker,Papua New Guinea,478418
2014,Tanker,Samoa,1643
2014,Tanker,Solomon Islands,37320
2014,Tanker,Tokelau,903
2014,Tanker,Tonga,6136
2014,Tanker,Tuvalu,2240
2014,Tanker,Vanuatu,9722
2015,Cargo,Cook Islands,96246
2015,Cargo,Fiji,70550
2015,Cargo,Kiribati,137093
2015,Cargo,Marshall Islands,97369
2015,Cargo,Micronesia,1492408
2015,Cargo,Nauru,11082
2015,Cargo,Niue,18621
2015,Cargo,Palau,388626
2015,Cargo,Papua New Guinea,3834053
2015,Cargo,Samoa,7276
2015,Cargo,Solomon Islands,185348
2015,Cargo,Tokelau,7163
2015,Cargo,Tonga,28080
2015,Cargo,Tuvalu,19691
2015,Cargo,Vanuatu,38060
2015,Fishing,Cook Islands,7063
2015,Fishing,Fiji,12897
2015,Fishing,Kiribati,234504
2015,Fishing,Marshall Islands,56156
2015,Fishing,Micronesia,88804
2015,Fishing,Nauru,24604
2015,Fishing,Niue,304
2015,Fishing,Palau,5770
2015,Fishing,Papua New Guinea,56393
2015,Fishing,Samoa,1777
2015,Fishing,Solomon Islands,38854
2015,Fishing,Tokelau,11413
2015,Fishing,Tonga,1585
2015,Fishing,Tuvalu,26114
2015,Fishing,Vanuatu,5090
2015,Others,Cook Islands,18107
2015,Others,Fiji,54645
2015,Others,Kiribati,22791
2015,Others,Marshall Islands,12591
2015,Others,Micronesia,38837
2015,Others,Nauru,3850
2015,Others,Niue,4626
2015,Others,Palau,6431
2015,Others,Papua New Guinea,46251
2015,Others,Samoa,3485
2015,Others,Solomon Islands,11990
2015,Others,Tokelau,3530
2015,Others,Tonga,15528
2015,Others,Tuvalu,5860
2015,Others,Vanuatu,18850
2015,Passenger,Cook Islands,19374
2015,Passenger,Fiji,59614
2015,Passenger,Kiribati,24912
2015,Passenger,Marshall Islands,2132
2015,Passenger,Micronesia,4924
2015,Passenger,Nauru,38
2015,Passenger,Niue,3162
2015,Passenger,Palau,394
2015,Passenger,Papua New Guinea,52928
2015,Passenger,Samoa,5398
2015,Passenger,Solomon Islands,4095
2015,Passenger,Tokelau,4638
2015,Passenger,Tonga,21368
2015,Passenger,Tuvalu,361
2015,Passenger,Vanuatu,57015
2015,Tanker,Cook Islands,11873
2015,Tanker,Fiji,24295
2015,Tanker,Kiribati,45402
2015,Tanker,Marshall Islands,27950
2015,Tanker,Micronesia,307062
2015,Tanker,Nauru,9272
2015,Tanker,Niue,2443
2015,Tanker,Palau,58844
2015,Tanker,Papua New Guinea,716375
2015,Tanker,Samoa,2011
2015,Tanker,Solomon Islands,36096
2015,Tanker,Tokelau,417
2015,Tanker,Tonga,6853
2015,Tanker,Tuvalu,3666
2015,Tanker,Vanuatu,7763
2016,Cargo,Cook Islands,96294
2016,Cargo,Fiji,88761
2016,Cargo,Kiribati,154344
2016,Cargo,Marshall Islands,103661
2016,Cargo,Micronesia,1647684
2016,Cargo,Nauru,10038
2016,Cargo,Niue,17022
2016,Cargo,Palau,427902
2016,Cargo,Papua New Guinea,4173515
2016,Cargo,Samoa,14669
2016,Cargo,Solomon Islands,222954
2016,Cargo,Tokelau,17136
2016,Cargo,Tonga,29756
2016,Cargo,Tuvalu,21739
2016,Cargo,Vanuatu,43312
2016,Fishing,Cook Islands,12082
2016,Fishing,Fiji,18042
2016,Fishing,Kiribati,192796
2016,Fishing,Marshall Islands,74508
2016,Fishing,Micronesia,129878
2016,Fishing,Nauru,39006
2016,Fishing,Niue,1055
2016,Fishing,Palau,10494
2016,Fishing,Papua New Guinea,128203
2016,Fishing,Samoa,4321
2016,Fishing,Solomon Islands,63700
2016,Fishing,Tokelau,10797
2016,Fishing,Tonga,2361
2016,Fishing,Tuvalu,47480
2016,Fishing,Vanuatu,13400
2016,Others,Cook Islands,26625
2016,Others,Fiji,47473
2016,Others,Kiribati,27448
2016,Others,Marshall Islands,10385
2016,Others,Micronesia,37489
2016,Others,Nauru,4137
2016,Others,Niue,4912
2016,Others,Palau,11345
2016,Others,Papua New Guinea,41869
2016,Others,Samoa,3254
2016,Others,Solomon Islands,9623
2016,Others,Tokelau,3664
2016,Others,Tonga,12956
2016,Others,Tuvalu,5627
2016,Others,Vanuatu,17468
2016,Passenger,Cook Islands,23664
2016,Passenger,Fiji,64271
2016,Passenger,Kiribati,17928
2016,Passenger,Marshall Islands,698
2016,Passenger,Micronesia,3569
2016,Passenger,Nauru,38
2016,Passenger,Niue,2968
2016,Passenger,Palau,2418
2016,Passenger,Papua New Guinea,66470
2016,Passenger,Samoa,4177
2016,Passenger,Solomon Islands,7949
2016,Passenger,Tokelau,2570
2016,Passenger,Tonga,14873
2016,Passenger,Tuvalu,855
2016,Passenger,Vanuatu,69025
2016,Tanker,Cook Islands,12561
2016,Tanker,Fiji,28384
2016,Tanker,Kiribati,33154
2016,Tanker,Marshall Islands,32905
2016,Tanker,Micronesia,458109
2016,Tanker,Nauru,5615
2016,Tanker,Niue,3434
2016,Tanker,Palau,73438
2016,Tanker,Papua New Guinea,1084298
2016,Tanker,Samoa,1617
2016,Tanker,Solomon Islands,43071
2016,Tanker,Tokelau,816
2016,Tanker,Tonga,9624
2016,Tanker,Tuvalu,5039
2016,Tanker,Vanuatu,8348
2017,Cargo,Cook Islands,89509
2017,Cargo,Fiji,102408
2017,Cargo,Kiribati,135001
2017,Cargo,Marshall Islands,96811
2017,Cargo,Micronesia,1711588
2017,Cargo,Nauru,10653
2017,Cargo,Niue,17033
2017,Cargo,Palau,435341
2017,Cargo,Papua New Guinea,4251320
2017,Cargo,Samoa,21645
2017,Cargo,Solomon Islands,245441
2017,Cargo,Tokelau,16661
2017,Cargo,Tonga,29695
2017,Cargo,Tuvalu,22788
2017,Cargo,Vanuatu,45018
2017,Fishing,Cook Islands,12941
2017,Fishing,Fiji,16393
2017,Fishing,Kiribati,128459
2017,Fishing,Marshall Islands,58775
2017,Fishing,Micronesia,131847
2017,Fishing,Nauru,32638
2017,Fishing,Niue,727
2017,Fishing,Palau,13394
2017,Fishing,Papua New Guinea,147507
2017,Fishing,Samoa,2926
2017,Fishing,Solomon Islands,61049
2017,Fishing,Tokelau,7179
2017,Fishing,Tonga,2271
2017,Fishing,Tuvalu,28939
2017,Fishing,Vanuatu,19121
2017,Others,Cook Islands,27585
2017,Others,Fiji,71930
2017,Others,Kiribati,17522
2017,Others,Marshall Islands,16141
2017,Others,Micronesia,49570
2017,Others,Nauru,3896
2017,Others,Niue,6947
2017,Others,Palau,44297
2017,Others,Papua New Guinea,57224
2017,Others,Samoa,3147
2017,Others,Solomon Islands,15302
2017,Others,Tokelau,2662
2017,Others,Tonga,25515
2017,Others,Tuvalu,5365
2017,Others,Vanuatu,27906
2017,Passenger,Cook Islands,22827
2017,Passenger,Fiji,70292
2017,Passenger,Kiribati,23441
2017,Passenger,Marshall Islands,1758
2017,Passenger,Micronesia,5359
2017,Passenger,Nauru,5
2017,Passenger,Niue,2669
2017,Passenger,Palau,2205
2017,Passenger,Papua New Guinea,75139
2017,Passenger,Samoa,3018
2017,Passenger,Solomon Islands,11748
2017,Passenger,Tokelau,2531
2017,Passenger,Tonga,19280
2017,Passenger,Tuvalu,743
2017,Passenger,Vanuatu,67056
2017,Tanker,Cook Islands,9882
2017,Tanker,Fiji,24873
2017,Tanker,Kiribati,26691
2017,Tanker,Marshall Islands,26920
2017,Tanker,Micronesia,518349
2017,Tanker,Nauru,5459
2017,Tanker,Niue,3561
2017,Tanker,Palau,71013
2017,Tanker,Papua New Guinea,1173443
2017,Tanker,Samoa,1823
2017,Tanker,Solomon Islands,32753
2017,Tanker,Tokelau,238
2017,Tanker,Tonga,8510
2017,Tanker,Tuvalu,2849
2017,Tanker,Vanuatu,7209
2018,Cargo,Cook Islands,91231
2018,Cargo,Fiji,100099
2018,Cargo,Kiribati,156159
2018,Cargo,Marshall Islands,101977
2018,Cargo,Micronesia,1695918
2018,Cargo,Nauru,11421
2018,Cargo,Niue,15855
2018,Cargo,Palau,461598
2018,Cargo,Papua New Guinea,4295642
2018,Cargo,Samoa,19856
2018,Cargo,Solomon Islands,234676
2018,Cargo,Tokelau,10873
2018,Cargo,Tonga,29328
2018,Cargo,Tuvalu,25004
2018,Cargo,Vanuatu,39828
2018,Fishing,Cook Islands,12007
2018,Fishing,Fiji,15500
2018,Fishing,Kiribati,101221
2018,Fishing,Marshall Islands,60454
2018,Fishing,Micronesia,159686
2018,Fishing,Nauru,44290
2018,Fishing,Niue,1035
2018,Fishing,Palau,11708
2018,Fishing,Papua New Guinea,126245
2018,Fishing,Samoa,2166
2018,Fishing,Solomon Islands,46364
2018,Fishing,Tokelau,6108
2018,Fishing,Tonga,1832
2018,Fishing,Tuvalu,29045
2018,Fishing,Vanuatu,11459
2018,Others,Cook Islands,27969
2018,Others,Fiji,70645
2018,Others,Kiribati,16222
2018,Others,Marshall Islands,14315
2018,Others,Micronesia,56000
2018,Others,Nauru,2936
2018,Others,Niue,6273
2018,Others,Palau,42928
2018,Others,Papua New Guinea,71864
2018,Others,Samoa,6522
2018,Others,Solomon Islands,25746
2018,Others,Tokelau,2257
2018,Others,Tonga,21380
2018,Others,Tuvalu,5123
2018,Others,Vanuatu,22245
2018,Passenger,Cook Islands,19209
2018,Passenger,Fiji,64781
2018,Passenger,Kiribati,16234
2018,Passenger,Marshall Islands,247
2018,Passenger,Micronesia,3540
2018,Passenger,Nauru,8
2018,Passenger,Niue,2510
2018,Passenger,Palau,1283
2018,Passenger,Papua New Guinea,57201
2018,Passenger,Samoa,2645
2018,Passenger,Solomon Islands,4683
2018,Passenger,Tokelau,2914
2018,Passenger,Tonga,17258
2018,Passenger,Tuvalu,596
2018,Passenger,Vanuatu,53226
2018,Tanker,Cook Islands,13355
2018,Tanker,Fiji,24440
2018,Tanker,Kiribati,37305
2018,Tanker,Marshall Islands,26288
2018,Tanker,Micronesia,485440
2018,Tanker,Nauru,7334
2018,Tanker,Niue,4264
2018,Tanker,Palau,91019
2018,Tanker,Papua New Guinea,1140110
2018,Tanker,Samoa,1718
2018,Tanker,Solomon Islands,39604
2018,Tanker,Tokelau,686
2018,Tanker,Tonga,8008
2018,Tanker,Tuvalu,3094
2018,Tanker,Vanuatu,9044
2019,Cargo,Cook Islands,96468
2019,Cargo,Fiji,86716
2019,Cargo,Kiribati,177734
2019,Cargo,Marshall Islands,115530
2019,Cargo,Micronesia,1668720
2019,Cargo,Nauru,13957
2019,Cargo,Niue,12463
2019,Cargo,Palau,457498
2019,Cargo,Papua New Guinea,4403041
2019,Cargo,Samoa,16350
2019,Cargo,Solomon Islands,231962
2019,Cargo,Tokelau,8202
2019,Cargo,Tonga,29167
2019,Cargo,Tuvalu,26098
2019,Cargo,Vanuatu,43038
2019,Fishing,Cook Islands,17933
2019,Fishing,Fiji,12049
2019,Fishing,Kiribati,154126
2019,Fishing,Marshall Islands,48634
2019,Fishing,Micronesia,131895
2019,Fishing,Nauru,29057
2019,Fishing,Niue,936
2019,Fishing,Palau,7322
2019,Fishing,Papua New Guinea,131794
2019,Fishing,Samoa,2406
2019,Fishing,Solomon Islands,37894
2019,Fishing,Tokelau,5114
2019,Fishing,Tonga,3187
2019,Fishing,Tuvalu,35073
2019,Fishing,Vanuatu,11611
2019,Others,Cook Islands,26040
2019,Others,Fiji,38413
2019,Others,Kiribati,19142
2019,Others,Marshall Islands,8678
2019,Others,Micronesia,39800
2019,Others,Nauru,2954
2019,Others,Niue,5310
2019,Others,Palau,8537
2019,Others,Papua New Guinea,76110
2019,Others,Samoa,3148
2019,Others,Solomon Islands,15196
2019,Others,Tokelau,1562
2019,Others,Tonga,13804
2019,Others,Tuvalu,4381
2019,Others,Vanuatu,10064
2019,Passenger,Cook Islands,21879
2019,Passenger,Fiji,63014
2019,Passenger,Kiribati,25407
2019,Passenger,Marshall Islands,1468
2019,Passenger,Micronesia,5372
2019,Passenger,Nauru,60
2019,Passenger,Niue,3330
2019,Passenger,Palau,2201
2019,Passenger,Papua New Guinea,56132
2019,Passenger,Samoa,3377
2019,Passenger,Solomon Islands,3918
2019,Passenger,Tokelau,2142
2019,Passenger,Tonga,20110
2019,Passenger,Tuvalu,898
2019,Passenger,Vanuatu,43468
2019,Tanker,Cook Islands,14378
2019,Tanker,Fiji,22394
2019,Tanker,Kiribati,42486
2019,Tanker,Marshall Islands,26430
2019,Tanker,Micronesia,499649
2019,Tanker,Nauru,7452
2019,Tanker,Niue,3538
2019,Tanker,Palau,83653
2019,Tanker,Papua New Guinea,1223802
2019,Tanker,Samoa,1812
