,year,month,Vessel Type,Country,CO2eq,Vessel
216,2009,4,Fishing,Kiribati,406.0,15
217,2009,4,Fishing,Marshall Islands,427.0,11
218,2009,4,Fishing,Micronesia,1752.0,23
219,2009,4,Fishing,Nauru,77.0,9
220,2009,4,Fishing,Papua New Guinea,943.0,17
221,2009,4,Fishing,Solomon Islands,1332.0,21
222,2009,4,Fishing,Tuvalu,193.0,4
223,2009,4,Fishing,Vanuatu,38.0,2
224,2009,4,Others,Cook Islands,179.0,6
225,2009,4,Others,Fiji,588.0,11
226,2009,4,Others,Kiribati,909.0,16
227,2009,4,Others,Marshall Islands,491.0,15
228,2009,4,Others,Micronesia,2973.0,56
229,2009,4,Others,Nauru,279.0,5
230,2009,4,Others,Niue,32.0,2
231,2009,4,Others,Palau,320.0,22
232,2009,4,Others,Papua New Guinea,3211.0,91
233,2009,4,Others,Samoa,186.0,7
234,2009,4,Others,Solomon Islands,776.0,21
235,2009,4,Others,Tokelau,10.0,1
236,2009,4,Others,Tonga,200.0,6
237,2009,4,Others,Tuvalu,308.0,2
238,2009,4,Others,Vanuatu,237.0,10
239,2009,4,Passenger,Cook Islands,1314.0,4
240,2009,4,Passenger,Fiji,750.0,4
241,2009,4,Passenger,Kiribati,3422.0,2
242,2009,4,Passenger,Micronesia,80.0,3
243,2009,4,Passenger,Niue,66.0,1
244,2009,4,Passenger,Papua New Guinea,550.0,10
245,2009,4,Passenger,Solomon Islands,78.0,2
246,2009,4,Passenger,Tonga,60.0,1
247,2009,4,Passenger,Vanuatu,3696.0,5
248,2009,4,Tanker,Cook Islands,653.0,3
249,2009,4,Tanker,Fiji,2059.0,9
250,2009,4,Tanker,Kiribati,1213.0,13
251,2009,4,Tanker,Marshall Islands,1895.0,8
252,2009,4,Tanker,Micronesia,4544.0,28
253,2009,4,Tanker,Nauru,81.0,2
254,2009,4,Tanker,Niue,75.0,2
255,2009,4,Tanker,Palau,2242.0,26
256,2009,4,Tanker,Papua New Guinea,18704.0,73
257,2009,4,Tanker,Samoa,169.0,2
258,2009,4,Tanker,Solomon Islands,1645.0,13
259,2009,4,Tanker,Tonga,870.0,7
260,2009,4,Tanker,Tuvalu,33.0,2
261,2009,4,Tanker,Vanuatu,722.0,5
262,2009,5,Cargo,Cook Islands,5802.0,28
263,2009,5,Cargo,Fiji,5289.0,27
264,2009,5,Cargo,Kiribati,5079.0,36
265,2009,5,Cargo,Marshall Islands,2581.0,24
266,2009,5,Cargo,Micronesia,66694.0,391
267,2009,5,Cargo,Nauru,546.0,9
268,2009,5,Cargo,Niue,1320.0,14
269,2009,5,Cargo,Palau,16355.0,144
